Make,Model,Year,Variant,FuelType,BodyStyle,Segment,Engine_L,Cylinders,Consumption_City_L100km,Consumption_Highway_L100km,Consumption_Combined_L100km,CO2_Combined_gkm,Source
Toyota,Corolla,2024,Ascent Hatchback,Petrol,Hatchback,Small Car,2.0,4,7.0,5.3,6.0,140,Green Vehicle Guide 2024
Toyota,Corolla,2024,Ascent Sedan,Petrol,Sedan,Small Car,2.0,4,7.0,5.3,6.0,140,Green Vehicle Guide 2024
Toyota,Corolla,2024,GR Sport,Petrol,Hatchback,Small Car,2.0,4,7.4,5.6,6.3,148,Green Vehicle Guide 2024
Toyota,RAV4,2024,GX Petrol AWD,Petrol,SUV,Medium SUV,2.5,4,8.4,6.4,7.2,166,Green Vehicle Guide 2024
Toyota,RAV4,2024,GX Diesel AWD,Diesel,SUV,Medium SUV,2.0,4,6.9,5.6,6.1,160,Green Vehicle Guide 2024
Toyota,HiLux,2024,SR5 Diesel 4x4,Diesel,Ute,Large Ute,2.8,4,9.2,7.6,8.2,215,Green Vehicle Guide 2024
Toyota,HiLux,2024,WorkMate 4x2,Diesel,Ute,Large Ute,2.4,4,8.5,7.0,7.6,199,Green Vehicle Guide 2024
Toyota,Camry,2024,Ascent Petrol,Petrol,Sedan,Large Car,2.5,4,8.6,6.4,7.4,170,Green Vehicle Guide 2024
Toyota,LandCruiser 300,2024,GX Diesel,Diesel,SUV,Large SUV,3.3,6,9.8,8.2,8.8,232,Green Vehicle Guide 2024
Toyota,LandCruiser 70,2024,Wagon Diesel,Diesel,SUV,Large SUV,4.5,6,13.5,11.0,12.0,316,Green Vehicle Guide 2024
Toyota,Yaris,2024,Ascent,Petrol,Hatchback,Small Car,1.5,3,5.8,4.5,5.0,115,Green Vehicle Guide 2024
Toyota,Prado,2024,GX Diesel,Diesel,SUV,Large SUV,2.8,4,9.6,8.0,8.7,228,Green Vehicle Guide 2024
Mazda,CX-5,2024,Maxx Petrol AWD,Petrol,SUV,Medium SUV,2.5,4,8.8,6.8,7.6,173,Green Vehicle Guide 2024
Mazda,CX-5,2024,Maxx Diesel AWD,Diesel,SUV,Medium SUV,2.2,4,7.0,5.7,6.2,162,Green Vehicle Guide 2024
Mazda,CX-60,2024,G40e Petrol AWD,Petrol,SUV,Large SUV,3.3,6,9.4,7.5,8.3,190,Green Vehicle Guide 2024
Mazda,3,2024,G20 Evolve Hatch,Petrol,Hatchback,Small Car,2.0,4,7.4,5.5,6.3,144,Green Vehicle Guide 2024
Mazda,CX-3,2024,Maxx Petrol,Petrol,SUV,Small SUV,2.0,4,7.8,5.9,6.7,154,Green Vehicle Guide 2024
Mazda,BT-50,2024,XT Diesel,Diesel,Ute,Large Ute,3.0,4,9.1,7.3,8.0,210,Green Vehicle Guide 2024
Honda,Civic,2024,VTi-S Turbo,Petrol,Sedan,Small Car,1.5,4,7.0,5.5,6.1,142,Green Vehicle Guide 2024
Honda,CR-V,2024,Vi Turbo,Petrol,SUV,Medium SUV,1.5,4,7.8,6.2,6.9,159,Green Vehicle Guide 2024
Honda,Jazz,2024,Vibe,Petrol,Hatchback,Small Car,1.5,4,5.4,4.8,5.0,116,Green Vehicle Guide 2024
